segmentnr	original	analyzed	translated
['T27n1545_005:0020b14_0']	阿毘達磨大毘婆沙論卷第五	阿毘達磨大毘婆沙論卷第五	Abhidharma-mahāvibhāṣā-śāstra, fascicle 5
['T27n1545_005:0020b16_0']	五百大阿羅漢等造	五百大阿羅漢等造	Composed by 500 great arhats and others🔽Translated by Tripiṭaka Master Xuanzang on imperial command
['T27n1545_005:0020b17_0', 'T27n1545_005:0020b19_4']	三藏法師玄奘奉　詔譯🔽4雜蘊第一中世第一法納息第一之四世第一法。	三藏法師玄奘奉　詔譯 4雜蘊第一中世第一法納息第一之四世第一法。	Tripiṭaka master Xuanzang respectfully translated by imperial decree🔽4. Miscellaneous Aggregates, Part 1, Chapter on the Attainment of the Highest Mundane State, Section 1.4, on the Attainment of the Highest Mundane State.
['T27n1545_005:0020b19_12']	當言一心多心耶。	當言一心多心耶。	Should it be said to be one mind or many minds?
['T27n1545_005:0020b19_17']	乃至廣說。	乃至廣說。	... and so on at length.
['T27n1545_005:0020b20_5']	問何故作此論。	問何故作此論。	Question: Why was this treatise composed?
['T27n1545_005:0020b20_15']	答雖已說彼相應差別。	答雖已說彼相應差別。	Answer: Although the distinctions in association have already been explained,
['T27n1545_005:0020b21_6']	而未顯示現前多少。	而未顯示現前多少。	the present number has not yet been revealed.
['T27n1545_005:0020b21_15']	今欲顯示唯一剎那。	今欲顯示唯一剎那。	Now, in order to reveal that there is only one instant,
['T27n1545_005:0020b22_13']	故作斯論復次為欲遮遣他宗義故。	故作斯論復次為欲遮遣他宗義故。	this treatise is composed. Furthermore, in order to refute the meaning of other schools,
['T27n1545_005:0020b23_3']	如分別論者執。	如分別論者執。	such as the proponents of discrimination,🔽who hold that
['T27n1545_005:0020b23_8']	世第一法。	世第一法。	the supreme worldly dharmas
['T27n1545_005:0020b23_13']	相續現前。	相續現前。	appear in a continuum.
['T27n1545_005:0020b24_3']	彼說相續總有三種。	彼說相續總有三種。	They say that there are three kinds of continua in general:
['T27n1545_005:0020b24_8']	一時相續。	一時相續。	1. temporal continuum,
['T27n1545_005:0020b24_13']	二生相續。	二生相續。	2. continuum of birth,
['T27n1545_005:0020b24_19', 'T27n1545_005:0020b25_4']	三相似相續。🔽世第一法。	三相似相續。 世第一法。	3. continuum of similarity.🔽Although the supreme worldly dharmas
['T27n1545_005:0020b25_9']	雖無前二。	雖無前二。	lack the first two,
['T27n1545_005:0020b25_14']	而有後一。	而有後一。	they have the latter one.🔽Now, in order to refute the meaning they hold and to show that the supreme worldly dharmas appear in only one moment,
['T27n1545_005:0020b26_14']	今欲遮遣彼所執義顯世第一法唯一念現前。	今欲遮遣彼所執義顯世第一法唯一念現前。	Now, in order to refute the meaning they grasp and show that the supreme worldly dharma appears in only one moment,
['T27n1545_005:0020b27_7']	復次為令疑者得決定故。	復次為令疑者得決定故。	Furthermore, in order to make the doubtful attain certainty.
['T27n1545_005:0020b27_12']	謂先已說。	謂先已說。	It is said that previously it was said:
['T27n1545_005:0020b27_18']	若心心所法。	若心心所法。	If the mind and mental factors
['T27n1545_005:0020b28_9']	為等無間入正性離生。	為等無間入正性離生。	are the immediately preceding condition for entering the correct separation from birth,
['T27n1545_005:0020b28_16']	是謂世第一法。	是謂世第一法。	this is called the supreme worldly dharmas.
['T27n1545_005:0020b29_3']	勿有生疑。	勿有生疑。	Do not give rise to doubt,
['T27n1545_005:0020b29_16']	如心所法既有多種心亦應然。	如心所法既有多種心亦應然。	just as the mental factors are of many kinds, the mind should also be so.
['T27n1545_005:0020c01_8']	為令彼疑得決定故。	為令彼疑得決定故。	In order to make that doubt certain,
['T27n1545_005:0020c02_5', 'T27n1545_005:0020c02_10']	顯心所法雖有多種而心唯一。🔽由此因緣。	顯心所法雖有多種而心唯一。 由此因緣。	it is shown that although the mental factors are of many kinds, the mind is only one.🔽For this reason,
['T27n1545_005:0020c02_15']	故作斯論。	故作斯論。	therefore this treatise is composed.
['T27n1545_005:0020c03_8']	世第一法當言一心多心耶。	世第一法當言一心多心耶。	Should the supreme worldly dharmas be said to be one mind or many minds?
['T27n1545_005:0020c03_14']	答應言一心。	答應言一心。	The answer is: they should be said to be one mind.
['T27n1545_005:0020c04_2']	問如前已說。	問如前已說。	The question is: as previously stated,
['T27n1545_005:0020c04_7']	未來修者。	未來修者。	those cultivated in the future
['T27n1545_005:0020c04_16']	亦得名為世第一法。	亦得名為世第一法。	are also called supreme worldly dharmas.
['T27n1545_005:0020c05_6']	是則此法應有多心。	是則此法應有多心。	Then this dharma should have many minds.
['T27n1545_005:0020c05_15']	而言一心斯有何意。	而言一心斯有何意。	What is the meaning of saying it is one mind?
['T27n1545_005:0020c06_11']	答此中但說現在前者故言一心。	答此中但說現在前者故言一心。	The answer is: here it is only said that what is present is one mind.
['T27n1545_005:0020c07_8']	問今於此中何故不說未來修者。	問今於此中何故不說未來修者。	The question is: why is it not said here about those cultivated in the future?
['T27n1545_005:0020c07_16']	答應說而不說者。	答應說而不說者。	The answer is that although it should be explained, it is not explained.
['T27n1545_005:0020c08_5']	當知此義有餘。	當知此義有餘。	One should know that this meaning is incomplete.
['T27n1545_005:0020c08_14']	此中復有多復次釋。	此中復有多復次釋。	Here there are also many further explanations.
